"filename", "language", "SQL", "JSON", "Markdown", "JavaScript", "Django HTML", "XML", "Batch", "Vue", "Properties", "Java", "Django txt", "comment", "blank", "total"
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\test\java\com\siscondominio\sistemacondominio\DemoApplicationTests.txt", "Django txt", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 5, 14
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\mvnw.cmd", "Batch", 0, 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 0, 36, 183
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\pom.xml", "XML", 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 8, 3, 112
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\src\main\java\com\siscondominio\SisCondominioApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 5, 14
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\src\main\java\com\siscondominio\config\SecurityConfig.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 53, 8, 91
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\src\main\java\com\siscondominio\config\TestConfig.txt", "Django txt", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 8, 30
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\src\main\java\com\siscondominio\dto\ArticlesDTO.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 15, 49
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\src\main\java\com\siscondominio\dto\ClienteDTO.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 16, 59
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\src\main\java\com\siscondominio\dto\ClienteNewDTO.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 58, 49, 169
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\src\main\java\com\siscondominio\dto\CredenciaisDTO.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 5, 26
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\src\main\java\com\siscondominio\dto\EmailDTO.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 7, 25
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\src\main\java\com\siscondominio\endpoint\ArticlesEndpoint.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 14, 70
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\src\main\java\com\siscondominio\endpoint\UsuariosEndpoint.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 24, 21, 110
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\src\main\java\com\siscondominio\enums\Perfil.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 10, 38
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\src\main\java\com\siscondominio\model\AbstractEntity.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 9, 51
